zcta,tract,zcta_pop_pct,poppt
02108,25025020101,69.86,2672
02108,25025020302,.58,22
02108,25025030300,27.71,1060
02108,25025070101,1.86,71
02109,25025030100,2.23,84
02109,25025030300,54.49,2055
02109,25025030400,2.76,104
02109,25025030500,40.28,1519
02109,25025070101,.24,9
02110,25025030300,86.32,1496
02110,25025070101,13.68,237
02111,25025070101,64.88,4790
02111,25025070200,35.12,2593
02113,25025030100,27.04,1870
02113,25025030200,23.69,1638
02113,25025030300,.59,41
02113,25025030400,33.94,2347
02113,25025030500,14.74,1019
02114,25025020101,12.68,1521
02114,25025020200,30.41,3649
02114,25025020301,16.86,2023
02114,25025020302,9.66,1159
02114,25025020303,28.34,3400
02114,25025030200,.23,27
02114,25025030300,1.83,220
02114,25025981501,0,0
02115,25025010104,.78,221
02115,25025010300,11.33,3221
02115,25025010403,10.25,2914
02115,25025010404,20.45,5817
02115,25025010405,19.42,5522
02115,25025010500,10.25,2914
02115,25025010701,2.74,778
02115,25025010802,7.04,2002
02115,25025070800,.35,100
02115,25025080801,4.37,1242
02115,25025080900,1.77,502
02115,25025081001,9.8,2787
02115,25025081100,1.48,420
02115,25025981501,0,0
02115,25025981800,0,1
02116,25025010500,.63,130
02116,25025010600,8.3,1712
02116,25025010701,8.24,1700
02116,25025010702,11.63,2400
02116,25025010801,13.49,2783
02116,25025010802,5.12,1057
02116,25025070101,2.88,594
02116,25025070200,12.73,2625
02116,25025070300,18.95,3909
02116,25025070402,3.21,662
02116,25025070600,3.34,690
02116,25025070700,11.45,2361
02116,25025981501,.02,5
02118,25025061200,0,0
02118,25025070402,4,1061
02118,25025070500,20.61,5460
02118,25025070600,5.85,1550
02118,25025070800,13.61,3606
02118,25025070900,12.56,3329
02118,25025071101,14.16,3753
02118,25025071201,11.82,3131
02118,25025080100,5.78,1532
02118,25025080401,2.63,697
02118,25025080500,5.8,1538
02118,25025080601,3.17,841
02119,25025080100,7.17,1818
02119,25025080300,6.98,1769
02119,25025080401,6.05,1534
02119,25025080601,1.81,459
02119,25025081300,18.78,4760
02119,25025081400,10.56,2677
02119,25025081500,8.42,2134
02119,25025081700,15.07,3820
02119,25025081800,11.43,2898
02119,25025081900,1.42,361
02119,25025090400,.16,40
02119,25025090600,9.05,2293
02119,25025120301,3.09,783
02120,25025080401,3.16,479
02120,25025080500,10.26,1558
02120,25025080601,19.57,2971
02120,25025080801,17.41,2643
02120,25025080900,23.09,3506
02120,25025081001,12.42,1885
02120,25025081100,11.94,1813
02120,25025081400,2.15,326
02121,25025081900,10.6,2754
02121,25025082000,10.84,2815
02121,25025082100,19.34,5025
02121,25025090100,17.6,4571
02121,25025090200,8.6,2233
02121,25025090300,12.24,3179
02121,25025090400,.61,159
02121,25025091800,3.32,863
02121,25025091900,12.24,3181
02121,25025092400,4.61,1198
02121,25025980300,0,0
02122,25025091001,.37,87
02122,25025091500,4.5,1057
02122,25025091600,13.37,3138
02122,25025091700,13.07,3069
02122,25025091800,.44,103
02122,25025092000,8.71,2045
02122,25025092101,27.48,6451
02122,25025092200,1.45,341
02122,25025100601,9.22,2164
02122,25025100603,8.11,1904
02122,25025100700,9.93,2331
02122,25025100800,1.09,256
02122,25025980101,2.27,533
02124,25025091900,1.42,679
02124,25025092000,6.07,2900
02124,25025092200,6.3,3008
02124,25025092300,6.05,2893
02124,25025092400,8.54,4079
02124,25025100100,11.53,5510
02124,25025100200,5.66,2703
02124,25025100300,6.82,3258
02124,25025100400,10.18,4865
02124,25025100500,12.53,5989
02124,25025100601,6.26,2990
02124,25025100700,4.17,1991
02124,25025100800,11.07,5290
02124,25025100900,3.3,1577
02124,25025981100,.11,51
02125,25025090300,0,0
02125,25025090400,10.39,3460
02125,25025090600,.17,55
